path,purpose_and_retention_reason,sha256,version_status
docs/COHORT_CODE_PROFILE.json,鎖定此次驗證使用的程式內容，拒絕默默換版。,89b2898605c155f6399e6bf076172b50d542e3cfb1ad427d504fedabbcb4bb4b,New organization-authored adapter/document/example; not a historical research version
docs/COHORT_REMAINING_EVIDENCE.md,保存缺少的原始生成與版本證據，避免誤認完整歷史重現。,b28db7e93a6891b0a91a626c1837e71184720dc81d4622c66fb0464ccf9eaf84,New organization-authored adapter/document/example; not a historical research version
docs/COHORT_VALIDATION.json,公開彙總實測數據；不包含病例與私人路徑。,30ad4900998f391d3d8f60031e2569c41fa95a831d5ebeffde9d5531541c0601,New organization-authored adapter/document/example; not a historical research version
docs/FORMAT_PROCESSORS.md,保留Excel/PPT/Table 1格式工具的操作與驗證界線。,7cff1d752c6033f28f2111abc0adbae5fbe9eb65561d971fc9cd35c5bc832bbb,New organization-authored adapter/document/example; not a historical research version
docs/FRONTEND.md,兩條主線、集合範圍、程式與銜接契約。,50649f80e107656f4eff28aac06a94c9d6f02b564b47cf994ef6f9adcca9da8f,New organization-authored adapter/document/example; not a historical research version
examples/frontend/cohorts/KH.synthetic.json,完全合成的分線範例；供公開重跑與檢查ID規則，無真實病人資料。,ed1a7c4fdeb8fbc1dc4db78a2fbeb2624cb89ac6cd0f3f5ce86e707ea933d7b5,New organization-authored adapter/document/example; not a historical research version
examples/frontend/cohorts/KH/NGS_patient_3_CBC.json,完全合成的分線範例；供公開重跑與檢查ID規則，無真實病人資料。,d13f32bfbb935979b5443780ea0f3a2c2bdf95f828d5e94ee359c74544310023,New organization-authored adapter/document/example; not a historical research version
examples/frontend/cohorts/KH/NGS_patient_3_admission_diagnosis.json,完全合成的分線範例；供公開重跑與檢查ID規則，無真實病人資料。,a5338d955b09046ec0b16f3a9625b7955c763aae07dc722e474e6078745f932f,New organization-authored adapter/document/example; not a historical research version
examples/frontend/cohorts/KH/NGS_patient_3_all_RK_NTC_microbes.json,完全合成的分線範例；供公開重跑與檢查ID規則，無真實病人資料。,bc5327111ab34b1e2e4cc7e8c98841b26ec47a712d48f015fd496e87fa64f120,New organization-authored adapter/document/example; not a historical research version
examples/frontend/cohorts/KH/NGS_patient_3_culture.json,完全合成的分線範例；供公開重跑與檢查ID規則，無真實病人資料。,a5338d955b09046ec0b16f3a9625b7955c763aae07dc722e474e6078745f932f,New organization-authored adapter/document/example; not a historical research version
examples/frontend/cohorts/KH/NGS_patient_3_filmarray.json,完全合成的分線範例；供公開重跑與檢查ID規則，無真實病人資料。,a5338d955b09046ec0b16f3a9625b7955c763aae07dc722e474e6078745f932f,New organization-authored adapter/document/example; not a historical research version
examples/frontend/cohorts/KH/NGS_patient_3_gm_test.json,完全合成的分線範例；供公開重跑與檢查ID規則，無真實病人資料。,a5338d955b09046ec0b16f3a9625b7955c763aae07dc722e474e6078745f932f,New organization-authored adapter/document/example; not a historical research version
examples/frontend/cohorts/KH/NGS_patient_3_image.json,完全合成的分線範例；供公開重跑與檢查ID規則，無真實病人資料。,a5338d955b09046ec0b16f3a9625b7955c763aae07dc722e474e6078745f932f,New organization-authored adapter/document/example; not a historical research version
examples/frontend/cohorts/KH/NGS_patient_3_other_lab.json,完全合成的分線範例；供公開重跑與檢查ID規則，無真實病人資料。,a5338d955b09046ec0b16f3a9625b7955c763aae07dc722e474e6078745f932f,New organization-authored adapter/document/example; not a historical research version
examples/frontend/cohorts/KH/NGS_patient_3_underlying.json,完全合成的分線範例；供公開重跑與檢查ID規則，無真實病人資料。,a5338d955b09046ec0b16f3a9625b7955c763aae07dc722e474e6078745f932f,New organization-authored adapter/document/example; not a historical research version
